dataset,sim_type,condition,emd,emd_by_ac,emd_by_avg_ac,cfls_mean,cfls_std,gr_tr_perc_fit_traces,gr_tr_average_trace_fitness,gr_tr_log_fitness,sim_tr_perc_fit_traces,sim_tr_average_trace_fitness,sim_tr_log_fitness,sim_al_percFitTraces,sim_al_averageFitness,sim_al_percentage_of_fitting_traces,sim_al_average_trace_fitness,sim_al_log_fitness
bpi19,on_going,resource_usage,3.627574681113215e-05,2.6275987714780687e-05,0.0001945726307383,0.6895123812851247,0.1068761782541678,0.9977203028740468,0.9999546334469348,0.9999318662472436,0.1267779507272824,0.983141952866142,0.9837656193255074,,,,,
BPI_Challenge_2013_closed_problems,on_going,resource_usage,0.0007621179003634,1.1588995700757769e-05,0.0011144827824671,0.7841269841269842,0.0979829325793301,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
bpi_challenge_2013_incidents,on_going,resource_usage,0.0006860851256652,1.1576281842887317e-05,0.0005794558866545,0.8069629676088258,0.0726498247157563,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
bpi17,on_going,resource_usage,0.0167459152641045,1.1766800786431911e-05,0.0007535076329193,0.504370372327971,0.0488901374802499,1.0,1.0,1.0,0.0,0.8632577182494731,0.8661043187614852,,,,,
PermitLog,on_going,resource_usage,0.0004688485503768,1.1611690600677037e-05,0.0002196249965438,0.5570532645992161,0.0837622767953122,1.0,1.0,1.0,0.014018691588785,0.926984317666126,0.9465861333922758,,,,,
RequestForPayment,on_going,resource_usage,5.829983160271675e-05,1.1591123113999502e-05,0.0001292894483276,0.6518901237651238,0.0627342972845017,1.0,1.0,1.0,0.473551637279597,0.9185343837605852,0.9446901779427,,,,,
PrepaidTravelCost,on_going,resource_usage,4.633132383735827e-05,1.163892070430734e-05,6.167250056264509e-05,0.664677283034426,0.0989599700778689,0.0269841269841269,0.9801861059502016,0.9819668424003544,0.2399232245681382,0.9768586517468008,0.9730913644868902,,,,,
RequestForPayment,on_going,resource_usage,5.829983160271675e-05,1.1591123113999502e-05,0.0001292894483276,0.6518901237651238,0.0627342972845017,,,,,,,47.3551637279597,0.842010151896795,47.3551637279597,0.842010151896795,0.854842770280138
