test_loss_rt(days),test_loss_res,_step,train_acc,train_loss_rt(days),test_acc,train_loss,_runtime,train_loss_res,test_loss,_timestamp,run_name,lr,model,device,epochs,dataset,condition,optimizer,batch_size,project_name,weight_decay
0.00026690257920159235,0.14946180852128174,49,0.7017078428121373,3.425336822315499e-05,0.6942816730652657,1.134648300901295,115.64816689491272,0.12470012213871108,1.1184067419982482,1679099441.1102278,woven-shadow-47,0.0009952230861751,DG,cuda,50,PrepaidTravelCost,resource_usage,sgd,64,bpm23,0.0
0.0004694947048469826,0.09962664401181145,47,0.8192627394289844,3.299985218931127e-05,0.8100540412138488,0.5686182659112636,550.3000795841217,0.07663915782876078,0.6289379852416573,1679098805.7812746,sandy-shadow-46,0.000946003539182,DG,cuda,50,PermitLog,resource_usage,adam,64,bpm23,0.001
0.00013351538666972408,1.9956569227610272,5,0.9106057241279364,7.131616826410647e-05,0.8948292179907334,0.24571392443296136,352.84834003448486,0.7854511998863086,0.29811438991533373,1679084025.957797,usual-dust-45,0.0008824793961668,DG,cuda,50,bpi17,resource_usage,adam,512,bpm23,0.0
0.03851064611364294,2.153057378312869,31,0.8167931821357053,0.00013297422064675226,0.7822840922347085,0.453301584433872,271.16759181022644,1.9862202068892543,0.5550573490481542,1679083161.9510398,vocal-tree-44,0.0006205892147127,DG,cuda,50,bpi_challenge_2013_incidents,resource_usage,adam,64,bpm23,0.001
110664.87703703703,4.6556517179867445,33,0.7018903005887821,5.078468243634259,0.640635798203179,0.8051875949755593,28.0605685710907,2.3867704272085497,0.9319091660035588,1679082854.0529296,fancy-bird-43,0.0007048242932476,DG,cuda,50,BPI_Challenge_2013_closed_problems,resource_usage,adam,512,bpm23,0.001
0.0002314030682599103,0.027174507869507352,24,0.88429005205321,3.169437525448976e-05,0.91051567239636,0.3669039888351621,104.48975443840027,0.04757602568963589,0.28539106138314224,1679074325.1027355,charmed-dawn-42,6.989127320863406e-05,DG,cuda,50,RequestForPayment,resource_usage,adam,64,bpm23,0.01
13.413071469907408,2.18527744390781,13,0.8512750502391018,0.0007913884410151729,0.8243529720694006,0.4663284968769025,1402.5528137683868,1.5382623184419248,0.5676994625859368,1679050562.2487617,mild-wave-41,0.0009895648917792,DG,cuda,50,bpi19,resource_usage,adam,64,bpm23,0.001
0.0002322230957172535,0.01090102700961072,32,0.8801193831868679,2.0182175492798842e-05,0.8700747625782986,0.35643704952815736,55.89712977409363,0.011054493616905067,0.4183185596277218,1678140228.414976,comfy-smoke-34,0.00078551296135,,cuda,50,PrepaidTravelCost,trace_time,adam,256,bpm23,0.0
0.00018356423687051845,0.012409002025031904,48,0.8690930193997679,1.5913944829393317e-05,0.8642149929278642,0.42620840421108,106.76184272766113,0.014178537697099054,0.443654772500169,1678140143.5984957,lucky-wood-33,0.0009952230861751,,cuda,50,PrepaidTravelCost,resource_usage,sgd,64,bpm23,0.0
0.00022115884003815828,0.010134703853554625,15,0.9030508964719491,2.689596955423002e-05,0.9205005055611729,0.27492228172775496,90.06032419204712,0.010356775854626415,0.24272949916769207,1678139820.3051012,eager-forest-32,0.0003515027010583,,cuda,50,RequestForPayment,trace_time,adam,64,bpm23,0.001
0.00015555648892014116,0.006040944768675237,45,0.9087261422787739,1.6343290055239642e-05,0.926567239635996,0.26999164989326924,250.36706161499023,0.008564292539682447,0.2398645593676456,1678139692.2505145,fine-sea-31,6.989127320863406e-05,,cuda,50,RequestForPayment,resource_usage,adam,64,bpm23,0.01
0.0006509343341544822,0.07969527929690326,41,0.8359053126129382,2.428486943244934e-05,0.8236831165746185,0.4938941231327967,504.86539793014526,0.04032397684844814,0.56307678106484,1678139329.268431,happy-resonance-30,0.0008175097051631,,cuda,50,PermitLog,trace_time,adam,64,bpm23,0.001
0.0006479858027564155,0.07206718561915011,49,0.8376400433682689,2.1750261938130413e-05,0.8226735554367837,0.48709617019087387,604.5026531219482,0.03986903671282948,0.5655586719335955,1678138808.141519,giddy-dream-29,0.000946003539182,,cuda,50,PermitLog,resource_usage,adam,64,bpm23,0.001
0.0001056442658106486,2.6556188782698316,5,0.9108403109891955,6.552706162134806e-05,0.895606141936942,0.24981014856840555,319.96378087997437,0.8190920886643431,0.29429997710039796,1678134075.3848798,electric-violet-28,0.0003712519958411,,cuda,50,bpi17,trace_time,adam,256,bpm23,0.0
0.00010563787486818101,2.885140684462224,24,0.9241022882123752,4.687819767881323e-05,0.8999427901457792,0.2087101821158987,997.8580529689789,0.7390221799121922,0.29562424316771596,1678132759.012844,fanciful-vortex-27,0.0008824793961668,,cuda,50,bpi17,resource_usage,adam,512,bpm23,0.0
0.3452136456524884,2.301920079255997,16,0.8204023657616542,0.00010018814493108678,0.7681689155033635,0.43874337756128007,83.33860039710999,1.8275158996326213,0.6081266518782628,1678130846.7078364,tough-smoke-26,0.0007648621728067,,cuda,50,bpi_challenge_2013_incidents,trace_time,adam,64,bpm23,0.0
0.02091340948034216,1.967324759618358,28,0.838238718390537,7.448258223357024e-05,0.7915192285258779,0.40062456491168597,216.01921772956848,1.978071671329879,0.5501421850697454,1678130659.6784027,different-silence-25,0.0006205892147127,,cuda,50,bpi_challenge_2013_incidents,resource_usage,adam,64,bpm23,0.001
82150.1037037037,5.001683294484758,43,0.6987914471645491,0.01520273279260706,0.6344160331720802,0.8028791794697123,15.305781126022339,3.877119522845372,0.9963730004794366,1678130401.107454,wandering-breeze-24,0.0008939417664099,,cuda,50,BPI_Challenge_2013_closed_problems,trace_time,sgd,64,bpm23,0.001
