cfls,mae,dataset,condition,sim_type,model
0.7446808510638299,0.7446808510638299,bpi19,resource_usage,on_going,
0.7234042553191489,0.7234042553191489,bpi19,resource_usage,on_going,
0.6111111111111112,0.6111111111111112,bpi19,resource_usage,on_going,
0.6,0.6,bpi19,resource_usage,on_going,
0.6111111111111112,0.6111111111111112,bpi19,resource_usage,on_going,
0.625,0.625,bpi19,resource_usage,on_going,
0.6470588235294117,0.6470588235294117,bpi19,resource_usage,on_going,
0.625,0.625,bpi19,resource_usage,on_going,
0.6875,0.6875,bpi19,resource_usage,on_going,
0.5357142857142857,0.5357142857142857,bpi19,resource_usage,on_going,
0.6111111111111112,0.6111111111111112,bpi19,resource_usage,on_going,
0.6470588235294117,0.6470588235294117,bpi19,resource_usage,on_going,
0.7857142857142857,0.7857142857142857,bpi19,resource_usage,on_going,
0.6666666666666667,0.6666666666666667,bpi19,resource_usage,on_going,
0.7142857142857143,0.7142857142857143,bpi19,resource_usage,on_going,
0.7142857142857143,0.7142857142857143,bpi19,resource_usage,on_going,
0.7142857142857143,0.7142857142857143,bpi19,resource_usage,on_going,
0.5909090909090908,0.5909090909090908,bpi19,resource_usage,on_going,
0.5833333333333333,0.5833333333333333,bpi19,resource_usage,on_going,
0.6190476190476191,0.6190476190476191,bpi19,resource_usage,on_going,
0.6,0.6,bpi19,resource_usage,on_going,
0.5384615384615384,0.5384615384615384,bpi19,resource_usage,on_going,
0.5416666666666667,0.5416666666666667,bpi19,resource_usage,on_going,
0.6470588235294117,0.6470588235294117,bpi19,resource_usage,on_going,
0.7333333333333334,0.7333333333333334,bpi19,resource_usage,on_going,
0.6666666666666667,0.6666666666666667,bpi19,resource_usage,on_going,
0.7333333333333334,0.7333333333333334,bpi19,resource_usage,on_going,
0.6428571428571428,0.6428571428571428,bpi19,resource_usage,on_going,
0.8333333333333334,0.8333333333333334,bpi19,resource_usage,on_going,
0.8461538461538461,0.8461538461538461,bpi19,resource_usage,on_going,
0.7142857142857143,0.7142857142857143,bpi19,resource_usage,on_going,
0.7333333333333334,0.7333333333333334,bpi19,resource_usage,on_going,
0.7142857142857143,0.7142857142857143,bpi19,resource_usage,on_going,
0.75,0.75,bpi19,resource_usage,on_going,
0.6923076923076923,0.6923076923076923,bpi19,resource_usage,on_going,
0.8333333333333334,0.8333333333333334,bpi19,resource_usage,on_going,
0.75,0.75,bpi19,resource_usage,on_going,
0.75,0.75,bpi19,resource_usage,on_going,
0.75,0.75,bpi19,resource_usage,on_going,
0.7857142857142857,0.7857142857142857,bpi19,resource_usage,on_going,
0.6,0.6,bpi19,resource_usage,on_going,
0.6111111111111112,0.6111111111111112,bpi19,resource_usage,on_going,
0.6111111111111112,0.6111111111111112,bpi19,resource_usage,on_going,
0.6111111111111112,0.6111111111111112,bpi19,resource_usage,on_going,
0.6923076923076923,0.6923076923076923,bpi19,resource_usage,on_going,
0.6896551724137931,0.6896551724137931,bpi19,resource_usage,on_going,
0.6896551724137931,0.6896551724137931,bpi19,resource_usage,on_going,
0.625,0.625,bpi19,resource_usage,on_going,
0.6666666666666667,0.6666666666666667,bpi19,resource_usage,on_going,
0.6111111111111112,0.6111111111111112,bpi19,resource_usage,on_going,
0.6,0.6,bpi19,resource_usage,on_going,
0.6363636363636364,0.6363636363636364,bpi19,resource_usage,on_going,
0.5909090909090908,0.5909090909090908,bpi19,resource_usage,on_going,
0.625,0.625,bpi19,resource_usage,on_going,
0.6538461538461539,0.6538461538461539,bpi19,resource_usage,on_going,
0.6666666666666667,0.6666666666666667,bpi19,resource_usage,on_going,
0.6111111111111112,0.6111111111111112,bpi19,resource_usage,on_going,
0.6470588235294117,0.6470588235294117,bpi19,resource_usage,on_going,
0.6470588235294117,0.6470588235294117,bpi19,resource_usage,on_going,
0.6521739130434783,0.6521739130434783,bpi19,resource_usage,on_going,
0.631578947368421,0.631578947368421,bpi19,resource_usage,on_going,
0.631578947368421,0.631578947368421,bpi19,resource_usage,on_going,
0.6190476190476191,0.6190476190476191,bpi19,resource_usage,on_going,
0.7142857142857143,0.7142857142857143,bpi19,resource_usage,on_going,
0.625,0.625,bpi19,resource_usage,on_going,
0.5909090909090908,0.5909090909090908,bpi19,resource_usage,on_going,
0.5714285714285714,0.5714285714285714,bpi19,resource_usage,on_going,
0.6,0.6,bpi19,resource_usage,on_going,
0.7,0.7,bpi19,resource_usage,on_going,
0.7857142857142857,0.7857142857142857,bpi19,resource_usage,on_going,
0.8333333333333334,0.8333333333333334,bpi19,resource_usage,on_going,
0.7333333333333334,0.7333333333333334,bpi19,resource_usage,on_going,
0.7333333333333334,0.7333333333333334,bpi19,resource_usage,on_going,
0.6666666666666667,0.6666666666666667,bpi19,resource_usage,on_going,
0.6666666666666667,0.6666666666666667,bpi19,resource_usage,on_going,
0.6666666666666667,0.6666666666666667,bpi19,resource_usage,on_going,
0.6875,0.6875,bpi19,resource_usage,on_going,
0.6875,0.6875,bpi19,resource_usage,on_going,
0.7333333333333334,0.7333333333333334,bpi19,resource_usage,on_going,
0.7692307692307692,0.7692307692307692,bpi19,resource_usage,on_going,
0.7692307692307692,0.7692307692307692,bpi19,resource_usage,on_going,
0.6923076923076923,0.6923076923076923,bpi19,resource_usage,on_going,
