test_loss_rt(days),_step,train_acc,train_loss_rt(days),test_acc,train_loss,_runtime,test_loss,_timestamp,run_name,lr,device,epochs,dataset,condition,optimizer,batch_size,weight_decay
6417.517777777778,32,0.42163375224416516,440.4551851851852,0.41827912721284477,1.3556795104952095,161.6750614643097,1.3563197769334832,1677654500.9128785,stellar-sweep-10,0.0006383840914438283,cuda,50,BPI_Challenge_2012_W,resource_usage,sgd,64,0.01
2054.388148148148,48,0.42622467299307515,224.3026851851852,0.40719511036513917,1.3227102092548222,138.98926901817322,1.3468178384310163,1677654327.085421,lyric-sweep-9,0.0001991826580769407,cuda,50,BPI_Challenge_2012_W,resource_usage,sgd,512,0.01
634.2494444444444,48,0.4426006668376507,94.60374421296297,0.4197042150932641,1.309565843432706,337.7670998573303,1.3410160789564647,1677654169.8229008,vital-sweep-8,0.0009976153858642692,cuda,50,BPI_Challenge_2012_W,resource_usage,sgd,512,0.01
0.00027197210877029983,39,0.6371761990253911,0.00020977808369530571,0.5848243975045128,0.8319747227373782,286.550674200058,0.9513258688142634,1677653749.7479072,lyric-sweep-7,0.00091948604901064,cuda,50,BPI_Challenge_2012_W,resource_usage,adam,256,0.0
0.00027745962142944336,49,0.7320210310335984,0.00017635135738937942,0.66168413718846,0.66420447882948,364.43865060806274,0.8069175635559902,1677653454.3824167,driven-sweep-6,0.00048804079582042754,cuda,50,BPI_Challenge_2012_W,resource_usage,adam,512,0.0
0.0005201561804170962,48,0.5973967684021544,0.0001870343420240614,0.5521107134939988,0.9209271114310964,153.18287706375122,1.0189800474050776,1677653069.462702,rare-sweep-5,0.0009149390827890214,cuda,50,BPI_Challenge_2012_W,resource_usage,adam,256,0.01
557.8962962962963,37,0.4904847396768402,64.91994791666667,0.4675871678753523,1.1589472592136865,112.68633675575256,1.2017321476108969,1677652823.2307818,sage-sweep-4,0.0007887301104593363,cuda,50,BPI_Challenge_2012_W,resource_usage,adam,512,0.001
0.0003312259691732901,49,0.6142728904847397,0.0002288777298397488,0.5532191151787693,0.8912676360430427,140.7207956314087,0.9868122147582076,1677652702.2706997,iconic-sweep-3,0.0007663411201886679,cuda,50,BPI_Challenge_2012_W,resource_usage,adam,512,0.001
1720.4027777777778,31,0.4354962810977174,231.77532407407406,0.4188491623650125,1.3033490074937482,99.6847915649414,1.3291902320321631,1677652502.4221635,playful-sweep-2,0.0004956779013810467,cuda,50,BPI_Challenge_2012_W,resource_usage,sgd,512,0.01
2.0036932425050674e+26,49,0.3191972300589895,2.5790621771188088e+26,0.3486081641701238,1.964232234411834,149.01829028129578,1.9484885262692484,1677652392.3048263,proud-sweep-1,1.427426789768116e-06,cuda,50,BPI_Challenge_2012_W,resource_usage,adam,512,0.0
0.0001495274239116245,38,0.8897409592203129,0.00011171917120615641,0.8712987300883555,0.24272453706595923,275.9926176071167,0.3250160709796918,1677652147.6664467,winter-sweep-10,0.0002065193259682698,cuda,50,BPI_Challenge_2012_W,trace_time,adam,256,0.001
0.00017449393316551492,43,0.7724416517055656,0.00013415346542994182,0.7100104506444564,0.5468674513736607,304.23937582969666,0.718436439592956,1677651844.232189,iconic-sweep-9,0.00013017226184226658,cuda,50,BPI_Challenge_2012_W,trace_time,adam,256,0.001
0.0001650600963168674,43,0.7967684021543986,0.00012803613035767167,0.7356303638724389,0.4976326440352298,137.46274042129517,0.6720496519381217,1677651511.8718514,autumn-sweep-8,0.0002529429913223361,cuda,50,BPI_Challenge_2012_W,trace_time,adam,256,0.001
345.8095833333333,49,0.4636958194408823,72.74747106481482,0.4462425182886278,1.2990249649871157,368.4143490791321,1.3301759447105994,1677651357.9994042,royal-sweep-7,0.00019908340876326463,cuda,50,BPI_Challenge_2012_W,trace_time,sgd,256,0.001
1654.0912962962964,24,0.4505001282380097,426.97712962962964,0.4286664344301232,1.3166613470869022,72.40038871765137,1.3371113642824155,1677650904.3886306,crisp-sweep-6,0.0003658591010938959,cuda,50,BPI_Challenge_2012_W,trace_time,sgd,512,0.01
814.4157407407407,49,0.45211592716081045,223.40648148148148,0.4284130854736042,1.3130538931135094,140.86545825004578,1.3368045841571246,1677650823.1443603,spring-sweep-5,0.0005749181293007739,cuda,50,BPI_Challenge_2012_W,trace_time,sgd,512,0.0
276.97578703703704,45,0.4697101820979738,50.43940393518518,0.4530512714950755,1.2747267796278428,221.19375681877136,1.3038026666378482,1677650650.3361568,crisp-sweep-4,0.0001827330425203787,cuda,50,BPI_Challenge_2012_W,trace_time,sgd,64,0.001
0.00017108113677413375,46,0.8015003847140293,0.0001285755303170946,0.750071254394021,0.4783504005516759,269.4976601600647,0.6398438298083485,1677650402.710766,major-sweep-3,0.00021360761065755595,cuda,50,BPI_Challenge_2012_W,trace_time,adam,64,0.001
139.74208333333334,24,0.512259553731726,23.74105758101852,0.494632168983754,1.1381456873667,79.57452845573425,1.1752170352639515,1677650047.7930174,earnest-sweep-2,0.0009324928269260798,cuda,50,BPI_Challenge_2012_W,trace_time,adam,256,0.0
1615.4261111111111,46,0.4506924852526289,410.8164814814815,0.42730468378883363,1.316582535095293,266.52507734298706,1.3434509794681186,1677649937.6930094,helpful-sweep-1,0.000962037021889988,cuda,50,BPI_Challenge_2012_W,trace_time,sgd,512,0.01
0.01764534420437283,49,0.543214838088975,0.00652873780992296,0.5022365805168986,1.5184677469730812,218.13173484802246,1.6028999874653447,1677649657.0521069,balmy-sweep-10,0.0009637208958569242,cuda,50,BPI_Challenge_2012_Complete,resource_usage,adam,256,0.0
